headline,label,
"Supervisory Board Extends SAP CEO Henning Kagermannâ€™s Contract to May 31, 2009",People,
SAP Introduces First Cloud-Based Solution for Analyzing Insurance Regulatory Content,Solution,
BC Hydro Determines Customer Needs With SAP AMI Integration for Utilities Software,Story,
SAP and Partners at CeBIT 2014: Focus on the Cloud and SAP HANA,Partnership,
SAP Transforms Social Collaboration With Analytics for Data-Driven Decision-Making,Story,
"SAP Invests in Emerging Entrepreneurs to Drive Innovation, Job Creation and Economic Growth",Merger/Invest,
SAP and PlaNet Finance Hit Critical Milestones for Social Sustainability in Ghana Shea Value Chain Initiative,Partnership,
Accenture and SAP Bring Breakthrough CMO Solution on SAP HANA Platform to Clients under First-of-a-Kind Business Model,Partnership,
ATB Financial Sends One of the Worldâ€™s First Real-Time Payments From Canada to Germany Using Blockchain Technology Supported by SAP,Solution,
SAP Releases New Solution to Accelerate the Circular Economy,Solution,
SAP and Swiss Re Co-Innovate for Financial Reporting and Business Steering in Reinsurance and Insurance,Partnership,
SAP Achieves Leadership Position for Mobile Business Intelligence,Award,
"SAP Offers New, Free Online Classes on SAP HANA, Sustainability and Rapid Deployment",Partnership,
SAP Reports 35% Growth in Software Revenue at Constant Currencies and 20% Growth in Non-IFRS Software and Software-Related Service Revenue at Constant Currencies for the Second Quarter,Financials,
SAP.iO Launches Sustainable Future Accelerator Program with Accenture to Drive Startup and Partner Innovation,Merger/Invest,
SAP and Vendavo Deepen Partnership to Empower Customers With New Profit Optimization Solutions,Partnership,
Toyota Motor Corporation Chooses SAP S/4HANA and SAP HANA to Help Drive Operational Efficiency,Partnership,
"SAP Once Again Ranked No. 1 Supply Chain Management Vendor in Gartner Market Analysis, Based on 2017 Market Share Revenue Worldwide",Award,
Aareal Bank Speeds Up With SAP NetWeaver Business Warehouse Powered by SAP HANA,Solution,
SAP to Announce Second Quarter 2015 Results,Financials,
Celebrating 100 Solutions from SAP.iO Startups Available on SAP Store,Story,
Utility Companies Redefine Customer Engagement With New SAP Multichannel Foundation Software,Partnership,
SAP Named a Leader in Gartner Magic Quadrant for Utilities Customer Information Systems,Award,
SAP Positioned as a Leader in the Gartner Magic Quadrant for Operational Database Management Systems for Sixth Consecutive Year,Award,
SAP and Google Team to Put â€œBig Dataâ€?on the Map,Partnership,
SAP Announces Luisa Deplazes Delgado as Executive Board Member in Charge of HR,People,
SAP Expands Global Relationship With Portugal Telecom to Make the SAP HANA Cloud Platform Available to Developers and Customers,Partnership,
SAP and FC Bayern Munich: Two Global Champions Join Forces,Partnership,
SAP Named a Leader in Gartner 2014 Magic Quadrant for Talent Management Suites,Award,
SAP Names HSBC This Yearâ€™s Klaus Tschira Human Resources Innovation Award Winner,Award,
Japanese IT and Electronics Company NEC to Globally Implement SAP Ariba Solutions,Story,
SAP to Announce Third Quarter 2014 Earnings,Financials,
IBM and SAP Partner to Accelerate Enterprise Cloud Adoption,Partnership,
SAP and OpenText to Accelerate Global Adoption of Enterprise Content Management,Partnership,
Independent Analyst Report Ranks SAP as a Leader in Master Data Management Solutions,Award,
SAP Positioned as a Leader in Gartner 2020 Magic Quadrant for Multiexperience Development Platforms (MXDP),Award,
SAP to Cancel Shares and Decrease Capital Stock (Web Message),Financials,
SAP Sybase Adaptive Server Enterprise Gains Momentum With Rapid Customer Adoption,Story,
SAP to Co-Innovate with Discovery Health to Transform Health Insurance Businesses into Intelligent Healthcare Enterprises,Story,
Right Hemisphere Visualization Technologies Are Now SAP Visual Enterprise Applications,Story,
"SAP Unveils New Solution for Product Lifecycle Costing, powered by SAP HANA, Designed to Improve Profitability",Solution,
SAP North America Taps Friedrichsen and Monday to Lead SMB Channel Efforts,Story,
ARC Advisory Group Ranks SAP a Leader in Key Supply Chain Management Systems,Award,
SAP Receives StrategicRISK Award for Risk Management Practices Implemented in Its Field Organization,Award,
SAP Supervisory Board Appoints Thomas Saueressig as New Executive Board Member to Lead SAP Product Engineering,People,
Google Cloud and SAP Partner to Accelerate Business Transformations in the Cloud,Partnership,
SAP Named a Leader in Gartnerâ€™s Magic Quadrant for Data Quality Tools for 12th Consecutive Year,Award,
SAP-Sponsored Oxford Economics Study Shows Retailers Expect Digital Transformation to Generate Greater Revenue and Profit,Partnership,
SAP Propels Sybase to Winning OCEG 2012 GRC Achievement Award and Principled Performance Prize,Award,
SAP Announces Preliminary Fourth Quarter and Full Year 2018 Results,Financials,
"Early Termination of Hart-Scott-Rodino Act Waiting Period; Acceptance of Voluntary CFIUS Notice for SAPâ€™s Acquisition of SuccessFactors, Inc.",Merger/Invest,
SAP Named a Challenger in the Gartner Magic Quadrant for Sales Performance Management,Award,
SAP.iO Foundry Singapore Launches FinTech and COVID-19 Recovery Acceleration Program,Story,
SAP Annual General Shareholder Meeting approves Dividend and Increases Subscribed Capital from Retained Earnings and Additional Paid-In Capital (APIC),Financials,
Concur Shareholders Approve Acquisition by SAP,Merger/Invest,
United Nations Association Presents Humanitarian Award for Advancing Equality Through Innovation to Bill McDermott,Award,
SAP Launches SAP Customer Data Platform to Enable Enterprises to Meet the Customer in the Moment,Partnership,
New SAP HANA Release Enables Customers to Innovate at Enterprise Scale,Partnership,
Companies Continue to Digitalize Spend Management with SAP Ariba and SAP Fieldglass Solutions in the First Quarter,Story,
"SAP and Partners at CeBIT 2013: Innovation, Interaction, Information",Partnership,
SAP Innovates Navigation and Decision-Making Within SAP Enterprise Support Offerings,Partnership,
SAP SuccessFactors Drives Digital Workforce Transformation in Europe,Story,
SAP and E.ON to Build New Process and Technology Platform,Partnership,
SAP Customers Showcase Cloud Success at SAPPHIRE NOW,Story,
SAP Announces 2012 First Quarter Results,Financials,
SAP Recognized for Market Leadership in Utilities Customer Information Systems,Award,
SAP Launches New Sustainability Solutions in the Cloud to Help Ensure Product Safety,Partnership,
Technical University of Munich Partners with the SAP Education Network for Digital Transformation,Story,
Organizations Digitally Transform HR and Save Millions with SAP SuccessFactors Solutions,Story,
SAP to Deliver More and Accelerated Innovation Without Disruption to SAP Business Suite,Partnership,
SAP raises Dividend by 10 per cent,Financials,
SAP and Singapore Airlines Collaborate to Boost Corporate Travel Visibility for Enterprises,Partnership,
SAP and WIS TELECOM Join Forces to Deliver IPX Voice Traffic Globally,Partnership,
WÃ¼rth Group Extends Relationship With SAP to Meet Global Product Compliance Goals in the Cloud,Partnership,
Forest Products Leaders Rely on SAP for Digital Transformation,Story,
SAP Annual General Meeting Approves All Management Proposals by an Overwhelming Majority,Financials,
SAP HANA Delivers One Modern Platform for Business in the Cloud,Partnership,
SAP Awarded Contract by Shell for Cloud Services,Award,
SAP Recognized as a Leader in 2021 Gartner Magic Quadrant for Sales Force Automation,Award,
SAP Ranked Revenue Leader in Warehouse Management Systems Software by ARC Advisory Group,Award,
SAP Hybris Sales Cloud and SAP Hybris Service Cloud Boost Customer ROI and Productivity,Partnership,
MOL Group Chooses SAP Ariba Solutions to Digitalize Global Procurement,Story,
Flint Group Transforms Procurement with SAP Ariba Solutions,Story,
SAP Named a Leader Among Enterprise Data Fabric Solutions by Independent Research Firm,Award,
Microsoft Selects SAP SuccessFactors HCM Suite to Transform HR Globally,Partnership,
Utilities Modernize Customer Experience With SAP,Story,
SAP Announces Availability of a New SAP S/4HANA-Based Subledger Solution for Financial Products,Solution,
SAP Announces 2019 Recipients of Regional Awards for Partner Excellence,Award,
SAP Simplifies Mobile Access to Analytics for Enterprise Workers,Partnership,
Businesses Chart Rapid Path to Digital Innovation with SAP Leonardo,Partnership,
SAP Continues as Leader in Supply Chain Market,Award,
Capstone Mining to Implement RISE with SAP,Story,
SAP Named a Leader in Enterprise Data Warehouse Solutions by Independent Research Firm,Award,
SAP Named a Leader in 2021 GartnerÂ® Magic Quadrantâ„?for Procure-to-Pay Suites for the Sixth Time in a Row,Award,
SAP S/4HANA Cloud Leads the Way in AI-Powered Innovation to Help Customers Build Intelligent Enterprises,Partnership,
SAP IT Infrastructure Management Software Extends SAP Solution Manager to Enable 360-Degree View of IT Landscapes,Solution,
SAP Announces First Quarter 2014 Results,Financials,
Alibaba and SAP Deepen Global Partnership to Accelerate Intelligent Enterprises in China,Partnership,
Service & Support Organization of SAP Named a Leader in Industry Analyst Firmâ€™s 2015 Magic Quadrant for Implementation Service Providers,Award,
Independent Research Firm Names SAP a Leader in Data Management for Analytics,Award,
"SAP Services Named a Leader in Gartner 2014 Magic Quadrant for SAP Implementation Service Providers, Worldwide",Award,
SAP and Birst Collaborate to Deliver Instant Cloud Analytics on SAP HANA Cloud Platform,Partnership,
SAP Named Market Leader for Key Supply Chain Management Systems by ARC Advisory Group,Award,
StarShea Nonprofit in Ghana Becomes an Independent Social Business With Technology and Services Donated from SAP,Story,
SAP Hybris Solutions Expand SAP Ecosystem to Drive Sales and Service Transformation in the Cloud,Partnership,
Global Organizations Continue to Select SAP SuccessFactors Solutions to Modernize Human Resources,Partnership,
SAP Appoints New Chief Investor Relations Officer,People,
SAP Recommends Dividend Increase (2005),Financials,
SAP Supervisory Board Extends Appointment for Vishal Sikka as Member of the Executive Board,People,
BASF and SAP Bring Multiple Business Partners Together in Global Network for Technical Assets,Partnership,
SAP to Help Unlock the Value of Consumer Data Residing in Mobile Networks With New Cloud Offering Powered by SAP HANA,Solution,
"Production Goes Digital at thyssenkrupp Presta with SAP Manufacturing Suite, powered by SAP Leonardo",Solution,
New Model Company Services from SAP Offers Customers Blueprint for Digital Transformation,Story,
SAP Ranked a Leader in the Analytics Market by Nucleus Research,Award,
"Emarsys, an SAP Company, Named a Leader for the Third Time in 2021 Gartner Magic Quadrant for Personalization Engines",Award,
SAP Launches SAP ActiveEmbedded and SAP Rapid Prototyping Services,Partnership,
SAP Customers Simplify Business With the Industry Cloud,Partnership,
Global Companies Choose SAP Cloud for Human Resources to Build Workforce of the Future,Partnership,
Quentin Clark Joins SAP as Chief Technology Officer,People,
SAP Positioned by Gartner in 2017 Magic Quadrant Report for Multichannel Campaign Management,Award,
SAP.iO Foundry Singapore Launches Industry 4.0 Startup Acceleration Program,Story,
SAP SI Issues Response to SAP AGâ€™s Public Voluntary Offer,Story,
EE Selects hybris to Support Its Digital Program,Story,
Accenture and SAP to Build and Deploy Extended Planning Solutions on SAP S/4HANA,Partnership,
SAP to Report 10% Growth in Software Revenues for the Full-Year 2004,Financials,
SAP Boosts Its Cloud Ecosystem with SAP S/4HANA Cloud SDK,Partnership,
SAP.iO Fund Invests in Deepgram for Gleaning New Insights from Speech,Merger/Invest,
SAP Customers and SAP HANA Software Recognized at 2014 Ventana Research Technology Innovation and Business Leadership Awards,Award,
SAP Launches Big Data Rapid-Deployment Solution powered by SAP HANA,Partnership,
SAP Achieves First-Place Rankings in Internationally Recognized CeFPro Fintech Leaders 2020 Report,Award,
SAP and League of Legends European Championships (LEC) Bring Live Data to E-Sports Fans,Partnership,
SAP Raises Dividend to â‚?.58; All Agenda Items Passed at Virtual Annual General Meeting of Shareholders,Financials,
Siemens and SAP Join Forces to Accelerate Industrial Transformation,Partnership,
Leading Companies Trust SAP to Transform Their Businesses and Run Live,Story,
"SAP SuccessFactors Performance & Goals Solution Customers Surpass 5,000",Solution,
SAP Business Suite powered by SAP HANA Continues Strong Market Momentum,Solution,
SAP Launches Partner Innovation Program to Deliver Microvertical Capabilities with SAP S/4HANA Cloud,Partnership,
SAP Kicks Off SAP.iO Foundry Paris for Procurement Startups,Story,
SAP Named Highest-Ranked Software Company in 2009 Dow Jones Sustainability Indexes,Award,
SAP and Thrive Global Join Forces to Improve Health and Well-Being,Partnership,
Imagine Dragons and SAP Join Forces to Introduce the One4 Project to Assist Refugees,Partnership,
SAP and Chronicled Announce Blockchain Solution to Verify Prescription Drug Authenticity,Partnership,
SAP to Release Third Quarter 2021 Results,Financials,
New SAP Master Data Governance Innovations to Empower Businesses with Trusted Data,Partnership,
SAP Named Major Player in IDC MarketScape: Worldwide Enterprise Performance Management Analytic Applications 2018 Vendor Assessment,Award,
SAP is a Leader in Gartnerâ€™s Magic Quadrant for International Retail Core Banking,Award,
SAP Hybris Named a Leader in Gartner 2017 Magic Quadrant Report for Digital Commerce,Award,
Lâ€™OCCITANE Group Drives Digital HR Transformation with SAP SuccessFactors Solutions,Story,
More Chinese Businesses Choose SAP to Help Optimize Digital HR Strategies,Story,
Palantir and SAP Boost Public Safety With Intelligence Analysis,Partnership,
SAP and Ovum Report Says Insurance Model Will Be Radically Different in Five Years,Partnership,
Waters Corporation Steers Clear of Risk With GRC Software From SAP and Implementation Help From EnCrisp,Partnership,
SAP and DigitalRoute Enable Service Innovation for New Business Models,Partnership,
UCB Brings HR to the Cloud with SAP SuccessFactors Solutions,Partnership,
SAP Ranked No. 1 in Gartner Market Share Analysis Report and Recognized as a Leader in Transportation and Warehouse Management Systems,Award,
SAP.iO Foundry Tel Aviv Leads Innovation in Utilities,Story,
SAP and University of Cambridge to Team Up for Autism at Work Initiative,Partnership,
Al Dahra Digitally Transforms Food Security Supply Chain in the Middle East Amid COVID-19,Story,
SAP and Dell Join Forces on Cloud and In-Memory Computing,Partnership,
Conversion of Legal Form to European Company (SE) Approved; SAP Shareholders Elect Jim Hagemann Snabe to Supervisory Board of SAP SE,People,
SAP and SuccessFactors Named a Leader in IDC MarketScape for Worldwide Integrated Talent Management 2014 Vendor Assessment,Award,
"SAP Positioned in Leaders Quadrant of Magic Quadrant for Enterprise Governance, Risk and Compliance Platforms",Award,
Millions of Middle East Mobile Users to Benefit from Big Data and Analytics Solutions with Zain Group and SAP,Partnership,
T-Systems and SAP Partner to Offer a Cloud-Based Logistics Solution for Internet of Things,Partnership,
SAP Once Again Ranked As a Global Sustainability Leader,Award,
SAP HANA Platform Momentum Continues With Mission-Critical Enterprise Applications and Developer Adoption,Partnership,
New Independent Consulting Study Finds Solution Extensions from OpenText and Utopia Offered by SAP Can Help Customers Save $17.7M Over Three Years,Solution,
Earth Observation Analysis Service powered by SAP HANA,Solution,
SAP ActiveAttention Provides Premium Advisory and Support Services for the Customer Journey to the Intelligent Enterprise,Partnership,
SAP and WTA Launch New Patterns of Play Feature,Partnership,
SAP Named a Leader in Advanced Data Visualization by Independent Research Firm,Award,
SAP to Announce Second Quarter 2014 Earnings Results,Financials,
SAP Announces Fourth Quarter and Full-Year 2009 Results that Exceeded Expectations,Financials,
"SAP and Partners Expand Industry Cloud Portfolio to Retail, Professional Services and IM&C",Partnership,
Independent Report Ranks SAP as a Leader in Data Quality Solutions,Award,
SAP Completes Acquisition of Qualtrics,Merger/Invest,
SAP Announces First Quarter 2021 Results,Financials,
SAP to Release Second Quarter 2018 Results,Financials,
SAP Announces Strong Quarter with Double-Digit Growth â€?Leading the Transition to Cloud and In-Memory,Financials,
Trusted Cloud Solutions from SAP Shape Key Government Initiatives Worldwide,Partnership,
SAP Harnesses Data to Embed Sustainability into Modern Businesses,Partnership,
Advanced Analytics from SAP Recognized Among Industry Leaders by Independent Research Firm,Award,
SAP and GENYOUth Inspire Next Generation with Competition for Student Entrepreneurs,Partnership,
SAP.iO Foundry Tokyo Launches Industry 4.0 Startup Acceleration Program,Story,
SAP Named a Leader in Gartner Magic Quadrant for Global Retail Core Banking,Award,
New Innovation Services Available to Speed Time to Value for SAP Customers,Story,
SAP Helps Customers Map Their Road to the Intelligent Enterprise,Partnership,
New SAP Leonardo Services and Offerings Ease the Way to Digital Innovation,Story,
Companies Choose SAP to Help with Supply and Demand Volatility,Story,
SAP Named Worldwide Market Share Leader for Enterprise Resource Planning,Award,
SAP Named Global Market Leader in Business Intelligence by Gartner,Award,
SAP Pre-Announces Strong Second Quarter Results Amid COVID-19 Crisis,Financials,
New Offering from SAP Helps Chemical Companies More Quickly Adopt Business Best Practices for Transformation and Rapid Time to Value,Story,
IDC MarketScape Names SAP a Leader in SaaS and Cloud Finance,Award,
Next-Generation Support from SAP Leverages Machine Learning and AI to Improve Customer Experience,Partnership,
"SAP Wins 17 Brandon Hall Group Human Capital Management Excellence Awards, Demonstrating Exceptional HR Practices",Award,
SAP Drives Machine Learning Across Its Applications and Ecosystem,Story,
SAP Reports 22% Growth in Software Revenues for the 2006 First Quarter,Financials,
SAP Innovations Enable Digital Transformation in Asset Management,Story,
SAP Reports Double-Digit Growth in Software and Software-Related Service Revenues for the First Quarter 2010,Financials,
SAP Kicks Off SAP.iO Foundry San Francisco for â€œFuture of Workâ€?Startups,Story,
SAP Brings Process Modeling to the Masses,Story,
SAP Customer ARI Wins Constellation Researchâ€™s 2012 SuperNova Award by Leveraging the Power of SAP HANA,Award,
Update on SAP Fioneer,Story,
SAP Named a Leader for 11th Time in Gartner Magic Quadrant for Global Retail Core Banking,Award,
SAP Releases New Version of SAP Hybris Billing to Help CSPs Transform into Digital Service Providers,Partnership,
Organizations Select Marketing Cloud Solution from SAP to Connect with Customers and Deliver Personalized Experiences,Partnership,
"SAP Big Data Margin Assurance, Cloud Edition, Helps Telecommunication Providers Improve Profitability",Partnership,
SAP Named Market Leader in Transportation Management Systems by ARC Advisory Group,Award,
Global Organizations Select SAP SuccessFactors Solutions to Power Data-Driven HR and the Intelligent Enterprise,Partnership,
SAP Solutions for Information Management Add Significant Innovations to Help Organizations Turn Data into Dollars,Partnership,
Statement on Women in Leadership at SAP,Award,
SAP and UNICEF Partner to Give Young People Job Skills Training to Power the Future Workforce,Partnership,
SAP Positioned as a Leader in 2019 Gartner â€œMagic Quadrant for Metadata Management Solutionsâ€?Award,,
Siemens and SAP to Offer Meter Data Management for New Utility Business Models,Partnership,
New openSAP Thought Leaders Series Helps Navigate Digital Transformation,Award,
SAP Positioned as a Leader Gartner Magic Quadrant for Data Integration Tools,Award,
SAP Announces Preliminary Fourth Quarter and Full Year 2014 Results ,Financials,
SAP Digital Consumer Insight Honored With 2016 InfoTech Spotlight Big Dataâ€“as-a-Service Excellence Award,Award,
Deployment Options for SAP Business Suite Powered by SAP HANA Deliver Speed and Simplicity,Solution,
SAP Helps Companies Prevent Costly Accidents With Enhanced Incident Management Solution,Story,
SAP Wins IT Security Award,Award,
ANSYS and SAP Partner to Unveil Insights from Rich Data Across Engineering and Operations Value Chains,Partnership,
SAP and the Colombian Coffee Growers Federation Bolster Sustainable Coffee Farming and Support Rural Workers,Partnership,
SAP Offers Small Businesses More Visibility and Control With Business Management Solution Running Fully on SAP HANA Platform,Solution,
Gartner Positions SAP as a Leader in the 2015 Magic Quadrant for Mobile Application Development Platforms,Award,
Crowd Service Solution from SAP Helps Organizations Extend Field Service Pool for Faster Customer Service,Solution,
SAP and Accenture Co-Develop New Cloud-Based Solution to Help Utilities Companies Supercharge Business Processes and Customer Experiences,Partnership,
SAP Identified as a Mobility Management Solution Vendor for Federal Agencies,Solution,
SAP Named a Leader in IDC MarketScape: Worldwide Retail Commerce Platform Software Providers 2020 Vendor Assessment,Award,
SAP to Announce Third Quarter 2013 Earnings,Financials,
SAP Wins 2012 EPA Climate Leadership Award,Award,
SAP Study Reveals Four Key Traits of a Digital Transformation Leader,Story,
SAP S/4HANA Cloud Recognized as a Leader in 2021 Gartner Magic Quadrant Report,Award,
SAP Afaria Recognized as Winner of 2012 Internet Telephony Product of the Year Award,Award,
Full Potential of Digital Transformation for Small and Midsize Firms Worldwide Still Untapped,Story,
SAP to Release Fourth Quarter and Financial Year 2013 Results,Financials,
"SAP Announces Preliminary First Quarter 2021 Results, Raises Full-Year Outlook",Financials,
SAP Announces Timeline for â€œBonusâ€?Shares,Financials,
"Sybase, an SAP Company, Wins Consecutive Waters Rankings Awards",Award,
Deutsche Telekom and SAP Expand Partnership to the Internet of Things for Real-Time Logistics,Partnership,
Deutsche Telekom and SAP Publish Corona Warning App After Just 50 Days of Development,Partnership,
SAP Named a Leader in Digital Operations Platforms for Distribution Businesses by Independent Research Firm,Award,
SAP Named a Leader for 10th Time in Gartner Magic Quadrant for Global Retail Core Banking,Award,
SAP Completes Acquisition of Signavio,Merger/Invest,
SAPâ€™s Karie Willyerd Awarded High Honor by Association for Talent Development,Award,
SAP SuccessFactors Solutions to Help Drive Boehringer Ingelheimâ€™s Digital HR Transformation,Story,
SAP Publishes Offer Document for Acquisition of SAF AG,Merger/Invest,
SAP Hybris and Gigya Consumer Insights and GDPR Readiness Tour to Address the Compliance-Trust Gap,Partnership,
SAP Leonardo IoT Helps Shape the Intelligent Enterprise,Partnership,
SAP Supervisory Board Extends Executive Board Contracts,People,
SAP and the Womenâ€™s Tennis Association Announce Global Relationship to Transform Tennis Experience,Partnership,
SAP and Vodafone Advance Internet of Things Platform Momentum,Partnership,
SAP Announces 2021 Recipients of Regional Awards for Partner Excellence,Award,
SAP Study Reveals Key Data Challenges and Opportunities in Enterprise Data Landscapes,Partnership,
SAP HANA Offers Multi-Node Capabilities to Help Customers Scale Out,Partnership,
SAP.iO Kicks Off First Accelerator Focused on Women and Diverse-Led Startups in Enterprise Tech in Europe,Story,
SAP Teams with project44 to Help Shippers Manage and Improve Data-Driven Global Supply Chains,Partnership,
SAP and Dell Join Forces on Cloud and In-Memory Computing,Partnership,
Women At Risk International Foundation Goes Live with SAP People Connect 365 to Help Transform Womenâ€™s Lives in Africa,Story,
Strategic Partners: SAP and Deutsche BÃ¶rse Set New Standards for Cloud Computing in the Financial Sector,Partnership,
SAP Announces First Quarter 2017 Results,Financials,
SAP Strengthens CX Suite to Help Customers Close the Experience Gap,Partnership,
SAP Fuels New Era of Social Collaboration to Transform Work,Story,
Customers Choose SAP HANA to Run Their Business,Story,
"With SAP Hybris Solutions, IDP Aims to Connect International Students to a Global Community",Story,
SAP for Retail Solution Named a Leader in Independent Point of Service Systems Report,Award,
Customers Choose SAP HANA Cloud Platform to Accelerate Innovation,Partnership,
"SAP Completes Acquisition of Sybase, Inc.",Merger/Invest,
SAP and Uber Freight Join Forces to Deliver On-Demand Logistics Through the Power of Networks,Partnership,
SAP Announces Availability of 2013 Annual Report and U.S. Securities and Exchange Commission Filing of Annual Report on Form 20-F,Financials,
Capgemini and SAP Announce Strategic Co-Innovation and Co-Development Agreement for Mobile Solutions,Partnership,
Study Finds European Countries Differ Sharply in Embracing Digital Leadership,Award,
SAP SuccessFactors Opportunity Marketplace Drives Internal Mobility and Upskilling to Help Organizations Future-Proof Their Business,Partnership,
SAP Named A Leader in Industry Analyst Firmâ€™s 2012 Mobile Application Development Platforms Magic Quadrant,Award,
SAP and Goldman Sachs Innovate to Offer Global Payments on Ariba Network,Partnership,
SAP Receives Industry Certification for Enabling an Information-Driven Culture,Story,
Bumble Bee Foods and SAP Create Blockchain to Track Fresh Fish from Ocean to Table,Partnership,
State of Indiana Chooses SAP HANA Platform to Help Fight Infant Mortality,Story,
SAP Named a Leader in Learning and Experience Platforms by Independent Research Firm,Award,
SAP Hybris Solutions Help Global Companies Drive Customer Engagement in the Digital Economy,Partnership,
NetBase and SAP Join Forces to Deliver Social Media Analytics to Global Enterprises,Partnership,
"SAP Announces Availability of New Manufacturing Solutions Suite, Leveraging SAP HANA to Deliver Data Integration Across Enterprise Operations",Partnership,
SAP Recommends Dividend of â‚?.85 per Share,Financials,
SAP to Announce Results for Second Quarter of 2020,Financials,
Leading Companies Accelerate Digitalization of Procurement and External Workforce Management with SAP Solutions,Partnership,
